Caracas	SantoDomingo
Kampala	NDjamena
BuenosAires	SantaCruz
Ankara	Kazan
Bogota	Lima
Havana	Monterrey
Beijing	Tokyo
MexicoCity	Minneapolis
Calgary	Hermosillo
LabradorCity	Ottawa
Cuiaba	Rosario
Chengdu	Kolkata
LabradorCity	Nuuk
Athens	Berlin
Minneapolis	SanDiego
Berlin	Stockholm
Denver	Winnipeg
Calgary	Minneapolis
CapeTown	Gaborone
Moscow	Tbilisi
Minneapolis	Seattle
SanFrancisco	Saskatoon
Salekhard	Yekaterinburg
Athens	Cairo
Bergamo	Tunis
Saskatoon	Toronto
RiodeJaneiro	Santiago
Mumbai	Perth
Denver	Miami
BuenosAires	Lima
NewYork	Nuuk
Lima	Manaus
Lima	Santiago
Denver	Seattle
NewYork	StJohns
Miami	Montreal
Jakarta	Makassar
London	Milan
Oslo	Paris
Baghdad	Kazan
NovyyUrengoy	Tomsk
Houston	SaltLakeCity
SanDiego	SanFrancisco
BuenosAires	PortoVelho
NewYork	PanamaCity
Adelaide	Brisbane
LabradorCity	Toronto
Bangkok	Singapore
Berlin	Paris
GuatemalaCity	Hermosillo
Anchorage	Vancouver
Calgary	Monterrey
Kazan	Tbilisi
Hermosillo	Vancouver
Atlanta	MexicoCity
Harare	Juba
Cuiaba	Paramaribo
Chengdu	Shanghai
Dublin	Frankfurt
Bergamo	London
Helsinki	Warsaw
MexicoCity	NewYork
Monterrey	SanDiego
AdDammam	Riyadh
Mackay	PortDouglas
Havana	OklahomaCity
Brasilia	Santarem
Ashgabat	Tbilisi
Tripoli	Tunis
Rome	Tunis
Chengdu	Kathmandu
Brisbane	Melbourne
Juba	Kampala
GuatemalaCity	Miami
Manaus	Rosario
Calgary	Saskatoon
Atlanta	KansasCity
PortoVelho	Santarem
Pevek	UgolnyyeKopi
Libreville	Yaounde
GuatemalaCity	Monterrey
AdDammam	Sanaa
LasVegas	Minneapolis
Fairbanks	Seattle
Denver	SanDiego
Atlanta	Toronto
Libreville	Timbuktu
Atlanta	Monterrey
LabradorCity	StJohns
KansasCity	MexicoCity
Bamako	Dakar
Monterrey	Toronto
Ashgabat	Kazan
Amsterdam	Oslo
Seoul	Shanghai
Krasnoyarsk	NovyyUrengoy
SaltLakeCity	Vancouver
AdDammam	Kabul
AdDammam	Tbilisi
Saskylakh	Yakutsk
Edmonton	Minneapolis
Sanaa	Tehran
Cuiaba	Santarem
Osaka	Tokyo
Monterrey	Vancouver
MexicoCity	Winnipeg
Bergamo	Dublin
PuertoMontt	PuntaArenas
Edmonton	Seattle
Chicago	Hermosillo
Ashgabat	Damascus
Denver	MexicoCity
Denver	Toronto
London	Paris
Guadalajara	Monterrey
Casablanca	Madrid
Athens	Tunis
Adelaide	Mackay
Mirnyy	Yakutsk
Berlin	London
Irkutsk	Krasnoyarsk
Seoul	Tokyo
Atlanta	Houston
Bergamo	Oslo
OklahomaCity	SanFrancisco
Muscat	Riyadh
Adelaide	Sydney
NewYork	SantoDomingo
SanDiego	Saskatoon
Riyadh	Sanaa
Guadalajara	SantoDomingo
Madrid	Rome
Nuuk	Reykjavik
Denver	Vancouver
Harbin	Tokyo
Frankfurt	Oslo
Edmonton	SanFrancisco
Juba	Yaounde
Houston	LasVegas
Amsterdam	London
Ashgabat	NewDelhi
Gaborone	Lusaka
Moscow	Yekaterinburg
Chengdu	Chifeng
